gene1,gene2,presence_count,presence_ratio,weight_mean,weight_median,qvalue_median
ABBFA_000005,ABBFA_000434,3,1.0,0.11028676264070657,0.10849590245312786,0.0
ABBFA_000005,rpmC,3,1.0,0.10360487597385237,0.10216035337825394,0.0
ABBFA_000008,ABBFA_000353,3,1.0,0.12323474663769658,0.12586698254418124,0.0
ABBFA_000009,ABBFA_000164,3,1.0,0.1291947968054158,0.1242632924371558,0.0
ABBFA_000009,ABBFA_000178,3,1.0,-0.12362661466253373,-0.11952448118446314,0.0
ABBFA_000009,ABBFA_000395,3,1.0,0.1643539823215593,0.1634573782124657,0.0
ABBFA_000009,ABBFA_000463,3,1.0,0.16079088220906,0.16301088523778962,0.0
ABBFA_000010,ABBFA_000464,3,1.0,0.11690357444310595,0.1163110715007157,0.0
ABBFA_000012,ABBFA_000397,3,1.0,0.11851937937987637,0.11539383932707757,0.0
ABBFA_000016,ABBFA_000017,3,1.0,0.19586705969392723,0.19898892846486885,0.0
ABBFA_000016,ABBFA_000302,3,1.0,0.13276647766550378,0.1314335761737991,0.0
ABBFA_000016,ABBFA_000554,3,1.0,0.11234683924677939,0.10964987452729556,0.0
ABBFA_000016,ABBFA_003532,3,1.0,-0.14070972118346212,-0.1481950640237164,0.0
ABBFA_000017,ABBFA_000259,3,1.0,0.35353467267616506,0.35306383219869275,0.0
ABBFA_000017,ABBFA_000408,3,1.0,0.14660991930198997,0.15336273576271123,0.0
ABBFA_000017,ABBFA_000661,3,1.0,0.11692151092304587,0.10676364051635322,0.0
ABBFA_000022,ABBFA_000023,3,1.0,0.10591451153742032,0.1070526228459204,0.0
ABBFA_000022,ABBFA_000245,3,1.0,0.11040002457301634,0.11272673949888078,0.0
ABBFA_000022,ABBFA_000652,3,1.0,0.11242386091926788,0.1137125312066712,0.0
ABBFA_000023,ABBFA_000284,3,1.0,-0.11534120694037127,-0.11109031382460095,0.0
ABBFA_000023,ABBFA_000408,3,1.0,0.14504822610713816,0.14483964806193056,0.0
ABBFA_000023,ABBFA_000673,3,1.0,0.13791837290936027,0.14417473264306363,0.0
ABBFA_000023,ABBFA_000694,3,1.0,0.11544196447682482,0.1120019650767115,0.0
ABBFA_000023,ABBFA_000752,3,1.0,0.1316129401552145,0.14123009178642165,0.0
ABBFA_000031,ABBFA_000369,3,1.0,0.13104016867130483,0.13044444020765292,0.0
ABBFA_000031,ABBFA_000681,3,1.0,0.11451295308949849,0.11272756229920901,0.0
ABBFA_000033,ABBFA_000034,3,1.0,0.2855520966988853,0.2908042500787465,0.0
ABBFA_000033,ABBFA_000585,3,1.0,0.16864381486492408,0.1649502411494421,0.0
ABBFA_000040,ABBFA_000041,3,1.0,0.2692057524988591,0.26475492748967266,0.0
ABBFA_000040,ABBFA_000363,3,1.0,0.1156377149053106,0.11189741564178483,0.0
ABBFA_000041,ABBFA_000362,3,1.0,0.16384911809356167,0.16801232501421265,0.0
ABBFA_000041,ABBFA_000363,3,1.0,0.16918336872025427,0.16896609345112762,0.0
ABBFA_000052,ABBFA_000091,3,1.0,0.12774422736753452,0.12570246994888348,0.0
ABBFA_000052,ABBFA_000656,3,1.0,0.1265684115637575,0.12310144582496854,0.0
ABBFA_000052,ABBFA_000776,3,1.0,0.18785770864462112,0.18441333790204173,0.0
ABBFA_000057,ABBFA_000590,3,1.0,0.14237110346445267,0.13355399334034979,0.0
ABBFA_000064,ABBFA_000343,3,1.0,0.12125235910774769,0.1256682059072412,0.0
ABBFA_000067,ABBFA_000070,3,1.0,0.33236394978659073,0.33717622320834234,0.0
ABBFA_000067,ABBFA_000352,3,1.0,0.13784859732479293,0.14007481286716353,0.0
ABBFA_000067,fahA,3,1.0,0.24703429459931273,0.2505630760954371,0.0
ABBFA_000067,maiA,3,1.0,0.34037771685388546,0.34121282221633453,0.0
ABBFA_000070,ABBFA_000187,3,1.0,0.1221923414968239,0.12695482991090398,0.0
ABBFA_000070,ABBFA_000263,3,1.0,0.13173270302873055,0.12879303544308934,0.0
ABBFA_000070,ABBFA_000388,3,1.0,0.21355883333205075,0.21013633934157078,0.0
ABBFA_000070,hppD,3,1.0,0.16089933594745334,0.17186265216366628,0.0
